1月1日,创世记1-4章
7月27日,以赛亚书32-35章
7月28日,以赛亚书36-39章
7月29日,以赛亚书40-41章
7月30日,以赛亚书42-43章
7月31日,以赛亚书44-46章
8月1日,以赛亚书47-50章
8月2日,以赛亚书51-53章
8月3日,以赛亚书54-57章
8月4日,以赛亚书58-60章
8月5日,以赛亚书61-63章
8月6日,以赛亚书64-66章
8月7日,耶利米书1-2章
8月8日,耶利米书3-4章
8月9日,耶利米书5-6章
8月10日,耶利米书7-9章
8月11日,耶利米书10-12章
8月12日,耶利米书13-15章
8月13日,耶利米书16-18章
8月14日,耶利米书19-22章
8月15日,耶利米书23-25章
8月16日,耶利米书26-29章
8月17日,耶利米书30-31章
8月18日,耶利米书32-34章
8月19日,耶利米书35-38章
8月20日,耶利米书39-42章
8月21日,耶利米书43-46章
8月22日,耶利米书47-48章
8月23日,耶利米书49-50章
8月24日,耶利米书51-52章
8月25日,耶利米哀歌1-2章
8月26日,耶利米哀歌3-5章
8月27日,以西结书1-5章
8月28日,以西结书6-9章
8月29日,以西结书10-13章
8月30日,以西结书14-16章
8月31日,以西结书17-19章
9月1日,以西结书20-21章
9月2日,以西结书22-24章
9月3日,以西结书25-27章
9月4日,以西结书28-30章
9月5日,以西结书31-33章
9月6日,以西结书34-36章
9月7日,以西结书37-39章
9月8日,以西结书40-42章
9月9日,以西结书43-45章
9月10日,以西结书46-48章
9月11日,但以理书1-4章
9月12日,但以理书5-8章
9月13日,但以理书9-12章
9月14日,何西阿书1-4章
9月15日,何西阿书5-9章
9月16日,何西阿书10-14章
9月17日,约珥书1-3章
9月18日,阿摩司书1-4章
9月19日,阿摩司书5-9章
9月20日,俄巴底亚书1章-约拿书4章
9月21日,弥迦书1-3章
9月22日,弥迦书4-7章
9月23日,那鸿书1-3章
9月24日,哈巴谷书1-3章
9月25日,西番雅书1-3章
9月26日,哈该书1-2章
9月27日,撒迦利亚书1-6章
9月28日,撒迦利亚书7-10章
9月29日,撒迦利亚书11-14章
9月30日,玛拉基书1-4章
10月1日,马太福音1-4章
10月2日,马太福音5-7章
10月3日,马太福音8-10章
10月4日,马太福音11-12章
10月5日,马太福音13-14章
10月6日,马太福音15-17章
10月7日,马太福音18-20章
10月8日,马太福音21-22章
10月9日,马太福音23-24章
10月10日,马太福音25-26章
10月11日,马太福音27-28章
10月12日,马可福音1-2章
10月13日,马可福音3-5章
10月14日,马可福音6-7章
10月15日,马可福音8-9章
10月16日,马可福音10-11章
10月17日,马可福音12-13章
10月18日,马可福音14-16章
10月19日,路加福音1-2章
10月20日,路加福音3-4章
10月21日,路加福音5-6章
10月22日,路加福音7-8章
10月23日,路加福音9-10章
10月24日,路加福音11-12章
10月25日,路加福音13-15章
10月26日,路加福音16-18章
10月27日,路加福音19-21章
10月28日,路加福音22-24章
10月29日,约翰福音1-3章
10月30日,约翰福音4-5章
10月31日,约翰福音6-7章
11月1日,约翰福音8-10章
11月2日,约翰福音11-12章
11月3日,约翰福音13-15章
11月4日,约翰福音16-18章
11月5日,约翰福音19-21章
11月6日,使徒行传1-2章
11月7日,使徒行传3-5章
11月8日,使徒行传6-7章
11月9日,使徒行传8-9章
11月10日,使徒行传10-12章
11月11日,使徒行传13-15章
11月12日,使徒行传16-18章
11月13日,使徒行传19-20章
11月14日,使徒行传21-23章
11月15日,使徒行传24-26章
11月16日,使徒行传27-28章
11月17日,罗马书1-3章
11月18日,罗马书4-6章
11月19日,罗马书7-8章
11月20日,罗马书9-11章
11月21日,罗马书12-16章
11月22日,哥林多前书1-4章
11月23日,哥林多前书5-8章
11月24日,哥林多前书9-11章
11月25日,哥林多前书12-16章
11月26日,哥林多后书1-4章
11月27日,哥林多后书5-9章
11月28日,哥林多后书10-13章
11月29日,加拉太书1-3章
11月30日,加拉太书4-6章
12月1日,以弗所书1-3章
12月2日,以弗所书4-6章
12月3日,腓立比书1-4章
12月4日,歌罗西书1-4章
12月5日,帖撒罗尼迦前书1-5章
12月6日,帖撒罗尼迦后书1-3章
12月7日,提摩太前书1-3章
12月8日,提摩太前书4-6章
12月9日,提摩太后书1-4章
12月10日,提多书1-3章、腓利门书1章
12月11日,希伯来书1-4章
12月12日,希伯来书5-7章
12月13日,希伯来书8-10章
12月14日,希伯来书11-13章
12月15日,雅各书1-2章
12月16日,雅各书3-5章
12月17日,彼得前书1-2章
12月18日,彼得前书3-5章
12月19日,彼得后书1-3章
12月20日,约翰一书1-3章
12月21日,约翰一书4-5章
12月22日,约翰二书、约翰三书、犹大书
12月23日,启示录1-3章
12月24日,启示录4-5章
12月25日,启示录6-7章
12月26日,启示录8-11章
12月27日,启示录12-14章
12月28日,启示录15-16章
12月29日,启示录17-18章
12月30日,启示录19-20章
12月31日,启示录21-22章
